Date,^HSI,Rate
1986-12-31,2568.3,
1987-12-31,2302.8,-10.34
1988-12-31,2687.4,16.7
1989-12-31,2836.6,5.55
1990-12-31,3024.0,6.61
1991-12-31,4297.3,42.11
1992-12-31,5512.4,28.28
1993-12-31,11888.4,115.67
1994-12-31,8191.0,-31.1
1995-12-31,10073.4,22.98
1996-12-31,13451.5,33.53
1997-12-31,10722.8,-20.29
1998-12-31,10048.58,-6.29
1999-12-31,16962.1,68.8
2000-12-31,15095.53,-11.0
2001-12-31,11397.21,-24.5
2002-12-31,9321.29,-18.21
2003-12-31,12575.94,34.92
2004-12-31,14230.14,13.15
2005-12-31,14876.43,4.54
2006-12-31,19964.72,34.2
2007-12-31,27812.65,39.31
2008-12-31,14387.48,-48.27
2009-12-31,21872.5,52.02
2010-12-31,23035.45,5.32
2011-12-31,18434.39,-19.97
2012-12-31,22656.92,22.91
2013-12-31,23306.39,2.87
2014-12-31,23605.04,1.28
2015-12-31,21914.4,-7.16
2016-12-31,22000.56,0.39
2017-12-31,29919.15,35.99
2018-12-31,25845.7,-13.61
2019-12-31,28189.75,9.07
2020-12-31,27231.13,-3.4
2021-12-31,23397.67,-14.08
2022-12-31,19781.41,-15.46
2023-12-31,17047.39,-13.82
2024-12-31,20059.95,17.67
2025-12-31,23831.28,18.8
