Date,^HSI,Rate
1986-12-31,2568.3,
1987-01-31,2553.3,-0.58
1987-02-28,2877.9,12.71
1987-03-31,2713.8,-5.7
1987-04-30,2659.9,-1.99
1987-05-31,2950.8,10.94
1987-06-30,3178.2,7.71
1987-07-31,3479.2,9.47
1987-08-31,3611.7,3.81
1987-09-30,3943.6,9.19
1987-10-31,2204.5,-44.1
1987-11-30,2138.4,-3.0
1987-12-31,2302.8,7.69
1988-01-31,2409.7,4.64
1988-02-29,2418.1,0.35
1988-03-31,2544.0,5.21
1988-04-30,2602.9,2.32
1988-05-31,2496.7,-4.08
1988-06-30,2671.5,7.0
1988-07-31,2678.9,0.28
1988-08-31,2443.8,-8.78
1988-09-30,2441.0,-0.11
1988-10-31,2627.4,7.64
1988-11-30,2659.3,1.21
1988-12-31,2687.4,1.06
1989-01-31,3072.9,14.34
1989-02-28,3012.7,-1.96
1989-03-31,3005.0,-0.26
1989-04-30,3116.0,3.69
1989-05-31,2743.9,-11.94
1989-06-30,2273.9,-17.13
1989-07-31,2571.1,13.07
1989-08-31,2508.6,-2.43
1989-09-30,2758.2,9.95
1989-10-31,2725.3,-1.19
1989-11-30,2748.4,0.85
1989-12-31,2836.6,3.21
1990-01-31,2751.6,-3.0
1990-02-28,2952.0,7.28
1990-03-31,2997.0,1.52
1990-04-30,2951.0,-1.53
1990-05-31,3132.0,6.13
1990-06-30,3278.0,4.66
1990-07-31,3438.0,4.88
1990-08-31,3087.0,-10.21
1990-09-30,2760.0,-10.59
1990-10-31,2990.0,8.33
1990-11-30,2965.0,-0.84
1990-12-31,3024.0,1.99
1991-01-31,3243.0,7.24
1991-02-28,3552.0,9.53
1991-03-31,3745.0,5.43
1991-04-30,3588.0,-4.19
1991-05-31,3707.0,3.32
1991-06-30,3668.0,-1.05
1991-07-31,4009.0,9.3
1991-08-31,3998.0,-0.27
1991-09-30,3956.7,-1.03
1991-10-31,4038.7,2.07
1991-11-30,4149.8,2.75
1991-12-31,4297.3,3.55
1992-01-31,4601.8,7.09
1992-02-29,4929.1,7.11
1992-03-31,4938.3,0.19
1992-04-30,5369.6,8.73
1992-05-31,6080.2,13.23
1992-06-30,6103.9,0.39
1992-07-31,5881.1,-3.65
1992-08-31,5628.6,-4.29
1992-09-30,5505.4,-2.19
1992-10-31,6190.7,12.45
1992-11-30,5810.6,-6.14
1992-12-31,5512.4,-5.13
1993-01-31,5751.4,4.34
1993-02-28,6352.0,10.44
1993-03-31,6388.9,0.58
1993-04-30,6830.5,6.91
1993-05-31,7372.2,7.93
1993-06-30,7099.3,-3.7
1993-07-31,6989.0,-1.55
1993-08-31,7549.7,8.02
1993-09-30,7676.2,1.68
1993-10-31,9329.1,21.53
1993-11-30,9125.2,-2.19
1993-12-31,11888.4,30.28
1994-01-31,11487.0,-3.38
1994-02-28,10410.2,-9.37
1994-03-31,9029.9,-13.26
1994-04-30,8966.1,-0.71
1994-05-31,9553.6,6.55
1994-06-30,8758.4,-8.32
1994-07-31,9482.8,8.27
1994-08-31,9929.4,4.71
1994-09-30,9521.2,-4.11
1994-10-31,9646.3,1.31
1994-11-30,8466.3,-12.23
1994-12-31,8191.0,-3.25
1995-01-31,7342.7,-10.36
1995-02-28,8327.5,13.41
1995-03-31,8587.7,3.12
1995-04-30,8361.0,-2.64
1995-05-31,9407.4,12.52
1995-06-30,9206.5,-2.14
1995-07-31,9453.4,2.68
1995-08-31,9179.9,-2.89
1995-09-30,9646.3,5.08
1995-10-31,9782.4,1.41
1995-11-30,9813.3,0.32
1995-12-31,10073.4,2.65
1996-01-31,11359.7,12.77
1996-02-29,11125.7,-2.06
1996-03-31,10957.2,-1.51
1996-04-30,10964.5,0.07
1996-05-31,11264.7,2.74
1996-06-30,11020.9,-2.16
1996-07-31,10681.4,-3.08
1996-08-31,11159.0,4.47
1996-09-30,11902.4,6.66
1996-10-31,12477.6,4.83
1996-11-30,13393.9,7.34
1996-12-31,13451.5,0.43
1997-01-31,13321.8,-0.96
1997-02-28,13398.7,0.58
1997-03-31,12534.3,-6.45
1997-04-30,12903.3,2.94
1997-05-31,14757.8,14.37
1997-06-30,15196.8,2.97
1997-07-31,16365.7,7.69
1997-08-31,14135.2,-13.63
1997-09-30,15049.3,6.47
1997-10-31,10623.8,-29.41
1997-11-30,10526.9,-0.91
1997-12-31,10722.8,1.86
1998-01-31,9252.4,-13.71
