Date,^IXIC,Rate
1971-12-31,114.12,
1972-12-31,133.73,17.18
1973-12-31,92.19,-31.06
1974-12-31,59.82,-35.11
1975-12-31,77.62,29.76
1976-12-31,97.88,26.1
1977-12-31,105.05,7.33
1978-12-31,117.98,12.31
1979-12-31,151.14,28.11
1980-12-31,202.34,33.88
1981-12-31,195.84,-3.21
1982-12-31,232.41,18.67
1983-12-31,278.6,19.87
1984-12-31,247.1,-11.31
1985-12-31,324.9,31.49
1986-12-31,348.8,7.36
1987-12-31,330.5,-5.25
1988-12-31,381.4,15.4
1989-12-31,454.8,19.24
1990-12-31,373.8,-17.81
1991-12-31,586.34,56.86
1992-12-31,676.95,15.45
1993-12-31,776.8,14.75
1994-12-31,751.96,-3.2
1995-12-31,1052.13,39.92
1996-12-31,1291.03,22.71
1997-12-31,1570.35,21.64
1998-12-31,2192.69,39.63
1999-12-31,4069.31,85.59
2000-12-31,2470.52,-39.29
2001-12-31,1950.4,-21.05
2002-12-31,1335.51,-31.53
2003-12-31,2003.37,50.01
2004-12-31,2175.44,8.59
2005-12-31,2205.32,1.37
2006-12-31,2415.29,9.52
2007-12-31,2652.28,9.81
2008-12-31,1577.03,-40.54
2009-12-31,2269.15,43.89
2010-12-31,2652.87,16.91
2011-12-31,2605.15,-1.8
2012-12-31,3019.51,15.91
2013-12-31,4176.59,38.32
2014-12-31,4736.05,13.4
2015-12-31,5007.41,5.73
2016-12-31,5383.12,7.5
2017-12-31,6903.39,28.24
2018-12-31,6635.28,-3.88
2019-12-31,8972.6,35.23
2020-12-31,12888.28,43.64
2021-12-31,15644.97,21.39
2022-12-31,10466.48,-33.1
2023-12-31,15011.35,43.42
2024-12-31,19310.79,28.64
2025-12-31,19912.53,3.12
