Date,^IXIC,Rate
1971-02-28,101.34,
1971-03-31,105.97,4.57
1971-04-30,112.3,5.97
1971-05-31,108.25,-3.61
1971-06-30,107.8,-0.42
1971-07-31,105.27,-2.35
1971-08-31,108.42,2.99
1971-09-30,109.03,0.56
1971-10-31,105.1,-3.6
1971-11-30,103.97,-1.08
1971-12-31,114.12,9.76
1972-01-31,118.87,4.16
1972-02-29,125.38,5.48
1972-03-31,128.14,2.2
1972-04-30,131.33,2.49
1972-05-31,132.53,0.91
1972-06-30,130.08,-1.85
1972-07-31,127.75,-1.79
1972-08-31,129.95,1.72
1972-09-30,129.61,-0.26
1972-10-31,130.24,0.49
1972-11-30,132.96,2.09
1972-12-31,133.73,0.58
1973-01-31,128.4,-3.99
1973-02-28,120.41,-6.22
1973-03-31,117.46,-2.45
1973-04-30,107.85,-8.18
1973-05-31,102.64,-4.83
1973-06-30,100.98,-1.62
1973-07-31,108.64,7.59
1973-08-31,104.87,-3.47
1973-09-30,111.2,6.04
1973-10-31,110.17,-0.93
1973-11-30,93.51,-15.12
1973-12-31,92.19,-1.41
1974-01-31,94.93,2.97
1974-02-28,94.35,-0.61
1974-03-31,92.27,-2.2
1974-04-30,86.86,-5.86
1974-05-31,80.2,-7.67
1974-06-30,75.96,-5.29
1974-07-31,69.99,-7.86
1974-08-31,62.37,-10.89
1974-09-30,55.67,-10.74
1974-10-31,65.23,17.17
1974-11-30,62.95,-3.5
1974-12-31,59.82,-4.97
1975-01-31,69.78,16.65
1975-02-28,73.0,4.61
1975-03-31,75.66,3.64
1975-04-30,78.54,3.81
1975-05-31,83.1,5.81
1975-06-30,87.02,4.72
1975-07-31,83.19,-4.4
1975-08-31,79.01,-5.02
1975-09-30,74.33,-5.92
1975-10-31,76.99,3.58
1975-11-30,78.8,2.35
1975-12-31,77.62,-1.5
1976-01-31,87.05,12.15
1976-02-29,90.26,3.69
1976-03-31,90.62,0.4
1976-04-30,90.08,-0.6
1976-05-31,88.04,-2.26
1976-06-30,90.32,2.59
1976-07-31,91.29,1.07
1976-08-31,89.7,-1.74
1976-09-30,91.26,1.74
1976-10-31,90.35,-1.0
1976-11-30,91.12,0.85
1976-12-31,97.88,7.42
1977-01-31,95.54,-2.39
1977-02-28,94.57,-1.02
1977-03-31,94.13,-0.47
1977-04-30,95.48,1.43
1977-05-31,95.59,0.12
1977-06-30,99.73,4.33
1977-07-31,100.65,0.92
1977-08-31,100.1,-0.55
1977-09-30,100.85,0.75
1977-10-31,97.52,-3.3
1977-11-30,103.15,5.77
1977-12-31,105.05,1.84
1978-01-31,100.84,-4.01
1978-02-28,101.47,0.62
1978-03-31,106.2,4.66
1978-04-30,115.18,8.46
1978-05-31,120.24,4.39
1978-06-30,120.3,0.05
1978-07-31,126.32,5.0
1978-08-31,135.01,6.88
1978-09-30,132.89,-1.57
1978-10-31,111.12,-16.38
1978-11-30,114.69,3.21
1978-12-31,117.98,2.87
1979-01-31,125.82,6.65
1979-02-28,122.56,-2.59
1979-03-31,131.76,7.51
1979-04-30,133.82,1.56
1979-05-31,131.42,-1.79
1979-06-30,138.13,5.11
1979-07-31,141.33,2.32
1979-08-31,150.44,6.45
1979-09-30,149.98,-0.31
1979-10-31,135.53,-9.63
1979-11-30,144.26,6.44
1979-12-31,151.14,4.77
1980-01-31,161.75,7.02
1980-02-29,158.03,-2.3
1980-03-31,131.0,-17.1
1980-04-30,139.99,6.86
1980-05-31,150.45,7.47
1980-06-30,157.78,4.87
1980-07-31,171.81,8.89
1980-08-31,181.52,5.65
1980-09-30,187.76,3.44
1980-10-31,192.78,2.67
1980-11-30,208.15,7.97
1980-12-31,202.34,-2.79
1981-01-31,197.81,-2.24
1981-02-28,198.01,0.1
1981-03-31,210.18,6.15
1981-04-30,216.74,3.12
1981-05-31,223.47,3.11
1981-06-30,215.75,-3.45
1981-07-31,211.63,-1.91
1981-08-31,195.75,-7.5
1981-09-30,180.03,-8.03
1981-10-31,195.24,8.45
1981-11-30,201.37,3.14
1981-12-31,195.84,-2.75
1982-01-31,188.39,-3.8
1982-02-28,179.43,-4.76
1982-03-31,175.65,-2.11
1982-04-30,184.7,5.15
1982-05-31,178.54,-3.34
1982-06-30,171.3,-4.06
1982-07-31,167.35,-2.31
1982-08-31,177.71,6.19
1982-09-30,187.65,5.59
1982-10-31,212.63,13.31
1982-11-30,232.31,9.26
1982-12-31,232.41,0.04
1983-01-31,248.35,6.86
1983-02-28,260.67,4.96
1983-03-31,270.8,3.89
1983-04-30,293.06,8.22
1983-05-31,308.73,5.35
1983-06-30,318.7,3.23
1983-07-31,303.96,-4.63
1983-08-31,292.42,-3.8
1983-09-30,296.65,1.45
1983-10-31,274.55,-7.45
1983-11-30,285.67,4.05
1983-12-31,278.6,-2.47
1984-01-31,268.43,-3.65
1984-02-29,252.57,-5.91
1984-03-31,250.78,-0.71
1984-04-30,247.44,-1.33
1984-05-31,232.82,-5.91
1984-06-30,239.65,2.93
1984-07-31,229.7,-4.15
1984-08-31,254.64,10.86
1984-09-30,249.94,-1.85
1984-10-31,247.0,-1.18
1984-11-30,242.4,-1.86
1984-12-31,247.1,1.94
1985-01-31,278.7,12.79
1985-02-28,284.2,1.97
1985-03-31,279.2,-1.76
1985-04-30,280.6,0.5
1985-05-31,290.8,3.64
1985-06-30,296.2,1.86
