Date,^GSPC,Rate
1927-12-31,17.66,
1928-12-31,24.35,37.88
1929-12-31,21.45,-11.91
1930-12-31,15.34,-28.48
1931-12-31,8.12,-47.07
1932-12-31,6.92,-14.78
1933-12-31,9.97,44.08
1934-12-31,9.5,-4.71
1935-12-31,13.43,41.37
1936-12-31,17.18,27.92
1937-12-31,10.55,-38.59
1938-12-31,13.14,24.55
1939-12-31,12.46,-5.18
1940-12-31,10.58,-15.09
1941-12-31,8.69,-17.86
1942-12-31,9.77,12.43
1943-12-31,11.67,19.45
1944-12-31,13.28,13.8
1945-12-31,17.36,30.72
1946-12-31,15.3,-11.87
1947-12-31,15.3,0.0
1948-12-31,15.2,-0.65
1949-12-31,16.79,10.46
1950-12-31,20.43,21.68
1951-12-31,23.77,16.35
1952-12-31,26.57,11.78
1953-12-31,24.81,-6.62
1954-12-31,35.98,45.02
1955-12-31,45.48,26.4
1956-12-31,46.67,2.62
1957-12-31,39.99,-14.31
1958-12-31,55.21,38.06
1959-12-31,59.89,8.48
1960-12-31,58.11,-2.97
1961-12-31,71.55,23.13
1962-12-31,63.1,-11.81
1963-12-31,75.02,18.89
1964-12-31,84.75,12.97
1965-12-31,92.43,9.06
1966-12-31,80.33,-13.09
1967-12-31,96.47,20.09
1968-12-31,103.86,7.66
1969-12-31,92.06,-11.36
1970-12-31,92.15,0.1
1971-12-31,102.09,10.79
1972-12-31,118.05,15.63
1973-12-31,97.55,-17.37
1974-12-31,68.56,-29.72
1975-12-31,90.19,31.55
1976-12-31,107.46,19.15
1977-12-31,95.1,-11.5
1978-12-31,96.11,1.06
1979-12-31,107.94,12.31
1980-12-31,135.76,25.77
1981-12-31,122.55,-9.73
1982-12-31,140.64,14.76
1983-12-31,164.93,17.27
1984-12-31,167.24,1.4
1985-12-31,211.28,26.33
1986-12-31,242.17,14.62
1987-12-31,247.08,2.03
1988-12-31,277.72,12.4
1989-12-31,353.4,27.25
1990-12-31,330.22,-6.56
1991-12-31,417.09,26.31
1992-12-31,435.71,4.46
1993-12-31,466.45,7.06
1994-12-31,459.27,-1.54
1995-12-31,615.93,34.11
1996-12-31,740.74,20.26
1997-12-31,970.43,31.01
1998-12-31,1229.23,26.67
1999-12-31,1469.25,19.53
2000-12-31,1320.28,-10.14
2001-12-31,1148.08,-13.04
2002-12-31,879.82,-23.37
2003-12-31,1111.92,26.38
2004-12-31,1211.92,8.99
2005-12-31,1248.29,3.0
2006-12-31,1418.3,13.62
2007-12-31,1468.36,3.53
2008-12-31,903.25,-38.49
2009-12-31,1115.1,23.45
2010-12-31,1257.64,12.78
2011-12-31,1257.6,-0.0
2012-12-31,1426.19,13.41
2013-12-31,1848.36,29.6
2014-12-31,2058.9,11.39
2015-12-31,2043.94,-0.73
2016-12-31,2238.83,9.54
2017-12-31,2673.61,19.42
2018-12-31,2506.85,-6.24
2019-12-31,3230.78,28.88
2020-12-31,3756.07,16.26
2021-12-31,4766.18,26.89
2022-12-31,3839.5,-19.44
2023-12-31,4769.83,24.23
2024-12-31,5881.63,23.31
2025-12-31,6092.18,3.58
