Date,^GSPC,Rate
1928-01-01,17.66,
1928-01-08,17.66,0.0
1928-01-15,17.58,-0.45
1928-01-22,17.48,-0.57
1928-01-29,17.69,1.2
1928-02-05,17.4,-1.64
1928-02-12,17.54,0.8
1928-02-19,17.04,-2.85
1928-02-26,17.18,0.82
1928-03-04,17.3,0.7
1928-03-11,17.93,3.64
1928-03-18,18.26,1.84
1928-03-25,18.78,2.85
1928-04-01,19.28,2.66
1928-04-08,19.23,-0.26
1928-04-15,19.73,2.6
1928-04-22,19.34,-1.98
1928-04-29,19.68,1.76
1928-05-06,20.24,2.85
1928-05-13,20.36,0.59
1928-05-20,19.92,-2.16
1928-05-27,19.9,-0.1
1928-06-03,20.07,0.85
1928-06-10,19.37,-3.49
1928-06-17,18.74,-3.25
1928-06-24,18.54,-1.07
1928-07-01,19.14,3.24
1928-07-08,19.39,1.31
1928-07-15,18.96,-2.22
1928-07-22,19.03,0.37
1928-07-29,19.42,2.05
1928-08-05,19.36,-0.31
1928-08-12,19.25,-0.57
1928-08-19,19.64,2.03
1928-08-26,20.34,3.56
1928-09-02,20.87,2.61
1928-09-09,21.09,1.05
1928-09-16,21.14,0.24
1928-09-23,21.36,1.04
1928-09-30,21.14,-1.03
1928-10-07,21.22,0.38
1928-10-14,21.51,1.37
1928-10-21,21.96,2.09
1928-10-28,21.65,-1.41
1928-11-04,21.95,1.39
1928-11-11,22.55,2.73
1928-11-18,23.37,3.64
1928-11-25,23.7,1.41
1928-12-02,24.28,2.45
1928-12-09,22.36,-7.91
1928-12-16,22.53,0.76
1928-12-23,23.33,3.55
1928-12-30,23.98,2.79
1929-01-06,24.85,3.63
1929-01-13,24.54,-1.25
1929-01-20,24.77,0.94
1929-01-27,25.48,2.87
1929-02-03,25.84,1.41
1929-02-10,24.44,-5.42
1929-02-17,24.35,-0.37
1929-02-24,24.86,2.09
1929-03-03,25.83,3.9
1929-03-10,25.31,-2.01
1929-03-17,26.08,3.04
1929-03-24,25.55,-2.03
1929-03-31,25.53,-0.08
1929-04-07,25.05,-1.88
1929-04-14,25.15,0.4
1929-04-21,25.41,1.03
1929-04-28,25.58,0.67
1929-05-05,26.37,3.09
1929-05-12,26.34,-0.11
1929-05-19,26.09,-0.95
1929-05-26,25.12,-3.72
1929-06-02,24.83,-1.15
1929-06-09,25.53,2.82
1929-06-16,25.93,1.57
1929-06-23,26.62,2.66
1929-06-30,27.41,2.97
1929-07-07,28.32,3.32
1929-07-14,28.57,0.88
1929-07-21,28.76,0.67
1929-07-28,28.66,-0.35
1929-08-04,29.56,3.14
1929-08-11,28.38,-3.99
1929-08-18,30.22,6.48
1929-08-25,31.09,2.88
1929-09-01,31.71,1.99
1929-09-08,31.83,0.38
1929-09-15,31.38,-1.41
1929-09-22,31.39,0.03
1929-09-29,30.27,-3.57
1929-10-06,28.65,-5.35
1929-10-13,30.76,7.36
1929-10-20,28.84,-6.24
1929-10-27,26.12,-9.43
1929-11-03,24.15,-7.54
1929-11-10,21.18,-12.3
